"sceneID","sensor","acquisitionDate","upperLeftCornerLatitude","upperLeftCornerLongitude","upperRightCornerLatitude","upperRightCornerLongitude","lowerLeftCornerLatitude","lowerLeftCornerLongitude","lowerRightCornerLatitude","lowerRightCornerLongitude","sceneCenterLatitude","sceneCenterLongitude","satelliteNumber","DATUM","ELEVATION_SOURCE","ELLIPSOID","EPHEMERIS_TYPE","FALSE_EASTING","FALSE_NORTHING","GRID_CELL_SIZE_REFLECTIVE","MAP_PROJECTION_L1","MAP_PROJECTION_L0RA","ORIENTATION"
"LT50900902003305ASA01","LANDSAT_TM",2003,-42.221,146.32,-42.5423,148.524,-43.7882,145.755,-44.1177,148.014,-43.173,"147.153","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50900892003305ASA01","LANDSAT_TM",2003,-40.807,146.811,-41.1216,148.969,-42.3762,146.266,-42.6983,148.476,-41.7562,"147.63","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50900882003305ASA01","LANDSAT_TM",2003,-39.3828,147.288,-39.6908,149.403,-40.9537,146.762,-41.2689,148.925,-40.3292,"148.094","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50410372003298PAC02","LANDSAT_TM",2003,34.1122,-119.491,33.8253,-117.519,32.5289,-119.909,32.2469,-117.971,33.1823,"-118.722","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50400372003291PAC02","LANDSAT_TM",2003,34.1117,-117.947,33.8248,-115.975,32.5283,-118.365,32.2464,-116.427,33.1818,"-117.179","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50900892003289ASA01","LANDSAT_TM",2003,-40.809,146.784,-41.1235,148.943,-42.3781,146.24,-42.7003,148.449,-41.7581,"147.604","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50900882003289ASA01","LANDSAT_TM",2003,-39.3765,147.264,-39.6846,149.379,-40.9475,146.738,-41.2627,148.901,-40.323,"148.07","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50410362003282PAC02","LANDSAT_TM",2003,35.5519,-119.098,35.2601,-117.093,33.9695,-119.527,33.6831,-117.558,34.6204,"-118.319","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50400372003275PAC02","LANDSAT_TM",2003,34.1105,-117.943,33.8236,-115.971,32.5272,-118.361,32.2452,-116.424,33.1806,"-117.175","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50900882003273ASA01","LANDSAT_TM",2003,-39.3786,147.266,-39.6866,149.381,-40.9496,146.74,-41.2647,148.903,-40.325,"148.072","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50900892003273ASA01","LANDSAT_TM",2003,-40.8028,146.789,-41.1173,148.947,-42.3719,146.244,-42.6941,148.454,-41.7519,"147.608","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50410372003266PAC02","LANDSAT_TM",2003,34.1147,-119.493,33.8278,-117.521,32.5313,-119.911,32.2494,-117.973,33.1848,"-118.725","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50410362003266PAC02","LANDSAT_TM",2003,35.547,-119.104,35.2552,-117.099,33.9645,-119.533,33.6781,-117.564,34.6154,"-118.325","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50400372003259PAC02","LANDSAT_TM",2003,34.1115,-117.952,33.8246,-115.98,32.5282,-118.371,32.2463,-116.433,33.1816,"-117.184","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50900882003257ASA01","LANDSAT_TM",2003,-39.3686,147.258,-39.6766,149.372,-40.9396,146.732,-41.2547,148.894,-40.315,"148.064","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50900892003257ASA01","LANDSAT_TM",2003,-40.8019,146.778,-41.1164,148.936,-42.3711,146.233,-42.6932,148.442,-41.751,"147.597","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50410362003250PAC02","LANDSAT_TM",2003,35.5516,-119.102,35.2597,-117.097,33.9691,-119.53,33.6827,-117.561,34.62,"-118.322","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50400372003243PAC02","LANDSAT_TM",2003,34.1157,-117.944,33.8288,-115.972,32.5324,-118.363,32.2505,-116.425,33.1859,"-117.176","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50900882003241ASA01","LANDSAT_TM",2003,-39.3758,147.258,-39.6838,149.373,-40.9468,146.732,-41.2619,148.895,-40.3222,"148.064","LANDSAT_5","WGS84","","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50900902003241ASA01","LANDSAT_TM",2003,-42.2161,146.289,-42.5374,148.493,-43.7833,145.724,-44.1128,147.982,-43.1681,"147.122","LANDSAT_5","WGS84","","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50900892003241ASA01","LANDSAT_TM",2003,-40.8011,146.78,-41.1156,148.939,-42.3703,146.236,-42.6924,148.445,-41.7503,"147.6","LANDSAT_5","WGS84","","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50410372003234PAC03","LANDSAT_TM",2003,34.1113,-119.488,33.8244,-117.516,32.5279,-119.906,32.246,-117.968,33.1814,"-118.719","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50410362003234PAC03","LANDSAT_TM",2003,35.5518,-119.097,35.26,-117.091,33.9694,-119.525,33.6829,-117.556,34.6202,"-118.317","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50890902003234ASA01","LANDSAT_TM",2003,-42.2161,147.834,-42.5374,150.038,-43.7833,147.268,-44.1128,149.527,-43.1681,"148.667","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50400372003227PAC02","LANDSAT_TM",2003,34.1122,-117.934,33.8253,-115.962,32.5289,-118.353,32.2469,-116.415,33.1823,"-117.166","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50900882003225ASA01","LANDSAT_TM",2003,-39.3764,147.26,-39.6845,149.375,-40.9474,146.734,-41.2625,148.897,-40.3229,"148.066","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50900902003225ASA01","LANDSAT_TM",2003,-42.2168,146.29,-42.5382,148.495,-43.784,145.725,-44.1136,147.984,-43.1688,"147.123","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50900892003225ASA01","LANDSAT_TM",2003,-40.8018,146.782,-41.1163,148.94,-42.371,146.238,-42.6931,148.447,-41.751,"147.602","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50410372003218PAC02","LANDSAT_TM",2003,34.1109,-119.485,33.824,-117.513,32.5275,-119.903,32.2456,-117.966,33.181,"-118.717","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50410362003218PAC02","LANDSAT_TM",2003,35.5507,-119.094,35.2589,-117.089,33.9683,-119.522,33.6818,-117.554,34.6192,"-118.315","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50400372003211PAC02","LANDSAT_TM",2003,34.1122,-117.941,33.8253,-115.969,32.5289,-118.359,32.2469,-116.421,33.1823,"-117.172","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50900882003209ASA01","LANDSAT_TM",2003,-39.3698,147.256,-39.6778,149.37,-40.9408,146.73,-41.2559,148.892,-40.3163,"148.062","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50900892003209ASA01","LANDSAT_TM",2003,-40.8033,146.775,-41.1178,148.934,-42.3725,146.231,-42.6946,148.44,-41.7525,"147.595","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50890902003202ASA00","LANDSAT_TM",2003,-42.2188,147.831,-42.5402,150.035,-43.786,147.265,-44.1156,149.524,-43.1709,"148.664","LANDSAT_5","WGS84","","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
